datetime,EX_NUM,m1,m2,n1,n2,max_fx,min_fx,max_gx,min_gx,alpha,th1,th2
23-May-2016 17:33:59, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
23-May-2016 17:34:00, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.630894e+03, 	 2.591922e-04, 	 1.003024e+09, 	 2.591922e-04, 	 3618.6476, 	 1.5202, 	 0.7725  
23-May-2016 17:34:06, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.491096e+05, 	 4.433897e-01, 	 2.893568e+15, 	 4.609942e-01, 	 1, 	 1, 	 1  
23-May-2016 17:34:06, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.775543e+06, 	 4.433897e-01, 	 1.734914e+12, 	 4.433897e-01, 	 4.2153e-05, 	 1.5191, 	 0.7725  
23-May-2016 17:34:12, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
23-May-2016 17:34:12, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.715586e+00, 	 5.831108e-02, 	 3.281962e+00, 	 5.831108e-02, 	 1.8581, 	 0.76992, 	 1  
23-May-2016 17:34:12, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.342745e+01, 	 3.728779e-01, 	 5.837370e+00, 	 3.644275e-02, 	 1, 	 1, 	 1  
23-May-2016 17:34:12, 	 2, 	 6, 	 0, 	 6, 	 0, 	 6.227868e+00, 	 2.151253e-01, 	 1.237158e+01, 	 2.151253e-01, 	 5.9031, 	 0.77407, 	 1  
23-May-2016 17:34:13, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
23-May-2016 17:34:13, 	 3, 	 7, 	 6, 	 8, 	 5, 	 5.862015e+00, 	 4.040894e-03, 	 5.862015e+00, 	 4.040894e-03, 	 1.4921, 	 0.79272, 	 0.90647  
23-May-2016 17:34:14, 	 3, 	 7, 	 6, 	 8, 	 5, 	 5.249888e+02, 	 1.626250e-01, 	 3.821537e+01, 	 1.105416e-02, 	 1, 	 1, 	 1  
23-May-2016 17:34:14, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.746491e+02, 	 1.203918e-01, 	 1.746491e+02, 	 1.203918e-01, 	 13.7389, 	 0.79272, 	 0.90647  
23-May-2016 17:34:15, 	 4, 	 9, 	 8, 	 10, 	 7, 	 5.120653e+01, 	 4.217680e-05, 	 3.400110e+01, 	 3.166825e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:15, 	 4, 	 9, 	 8, 	 10, 	 7, 	 1.217664e+00, 	 4.217680e-05, 	 1.217664e+00, 	 4.342379e-05, 	 1.3712, 	 0.59374, 	 0.66132  
23-May-2016 17:34:17, 	 4, 	 9, 	 8, 	 10, 	 7, 	 1.408231e+03, 	 1.159904e-03, 	 9.399500e+01, 	 8.754592e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:17, 	 4, 	 9, 	 8, 	 10, 	 7, 	 3.331740e+01, 	 1.159904e-03, 	 3.331740e+01, 	 1.182134e-03, 	 13.503, 	 0.59589, 	 0.65702  
23-May-2016 17:34:19, 	 5, 	 9, 	 8, 	 10, 	 7, 	 4.893870e+01, 	 4.993678e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:19, 	 5, 	 9, 	 8, 	 10, 	 7, 	 1.385741e+00, 	 4.993678e-05, 	 1.229645e+00, 	 5.040936e-05, 	 1.1756, 	 0.63212, 	 0.63212  
23-May-2016 17:34:21, 	 5, 	 9, 	 8, 	 10, 	 7, 	 1.593747e+03, 	 1.626250e-03, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:34:21, 	 5, 	 9, 	 8, 	 10, 	 7, 	 4.512831e+01, 	 1.626250e-03, 	 4.007074e+01, 	 1.642702e-03, 	 9.6842, 	 0.63212, 	 0.63212  
23-May-2016 17:34:22, 	 6, 	 9, 	 8, 	 9, 	 8, 	 4.893870e+01, 	 4.993678e-05, 	 2.817384e+01, 	 8.632822e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:22, 	 6, 	 9, 	 8, 	 9, 	 8, 	 1.385741e+00, 	 4.993678e-05, 	 9.340221e-01, 	 6.757197e-05, 	 0.78273, 	 0.63212, 	 0.63212  
23-May-2016 17:34:24, 	 6, 	 9, 	 8, 	 9, 	 8, 	 1.593747e+03, 	 1.626250e-03, 	 2.498281e+02, 	 7.655051e-04, 	 1, 	 1, 	 1  
23-May-2016 17:34:24, 	 6, 	 9, 	 8, 	 9, 	 8, 	 4.512831e+01, 	 1.626250e-03, 	 3.150034e+01, 	 2.278897e-03, 	 2.977, 	 0.63212, 	 0.63212  
23-May-2016 17:34:26, 	 7, 	 9, 	 8, 	 10, 	 10, 	 4.893870e+01, 	 4.993678e-05, 	 5.067700e+01, 	 2.842663e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:26, 	 7, 	 9, 	 8, 	 10, 	 10, 	 1.910275e+00, 	 4.993678e-05, 	 3.136057e+00, 	 4.979400e-05, 	 1.7517, 	 0.6267, 	 0.71163  
23-May-2016 17:34:29, 	 7, 	 9, 	 8, 	 10, 	 10, 	 1.593747e+03, 	 1.626250e-03, 	 2.163839e+03, 	 1.213778e-03, 	 1, 	 1, 	 1  
23-May-2016 17:34:29, 	 7, 	 9, 	 8, 	 10, 	 10, 	 6.221037e+01, 	 1.626250e-03, 	 1.021305e+02, 	 1.621618e-03, 	 1.336, 	 0.6267, 	 0.71163  
23-May-2016 17:34:31, 	 8, 	 9, 	 8, 	 10, 	 7, 	 5.258957e+01, 	 3.785610e-05, 	 3.400110e+01, 	 3.166825e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:31, 	 8, 	 9, 	 8, 	 10, 	 7, 	 9.932435e-01, 	 3.785610e-05, 	 9.932435e-01, 	 3.867179e-05, 	 1.2212, 	 0.60105, 	 0.61385  
23-May-2016 17:34:33, 	 8, 	 9, 	 8, 	 10, 	 7, 	 1.239488e+03, 	 8.922340e-04, 	 9.399500e+01, 	 8.754592e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:33, 	 8, 	 9, 	 8, 	 10, 	 7, 	 2.345673e+01, 	 8.922340e-04, 	 2.345673e+01, 	 9.151134e-04, 	 10.453, 	 0.60019, 	 0.61543  
23-May-2016 17:34:35, 	 9, 	 9, 	 8, 	 10, 	 7, 	 4.893870e+01, 	 4.993678e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:35, 	 9, 	 9, 	 8, 	 10, 	 7, 	 1.385741e+00, 	 4.993678e-05, 	 1.229645e+00, 	 5.040936e-05, 	 1.1756, 	 0.63212, 	 0.63212  
23-May-2016 17:34:37, 	 9, 	 9, 	 8, 	 10, 	 7, 	 1.593747e+03, 	 1.626250e-03, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:34:37, 	 9, 	 9, 	 8, 	 10, 	 7, 	 4.512831e+01, 	 1.626250e-03, 	 4.007074e+01, 	 1.642702e-03, 	 9.6842, 	 0.63212, 	 0.63212  
23-May-2016 17:34:39, 	 10, 	 10, 	 9, 	 10, 	 7, 	 7.554406e+01, 	 2.654478e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:34:39, 	 10, 	 10, 	 9, 	 10, 	 7, 	 9.919882e-01, 	 2.654478e-05, 	 5.950577e-01, 	 2.679305e-05, 	 0.62483, 	 0.62232, 	 0.62232  
23-May-2016 17:34:42, 	 10, 	 10, 	 9, 	 10, 	 7, 	 2.314081e+03, 	 8.131252e-04, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:34:42, 	 10, 	 10, 	 9, 	 10, 	 7, 	 3.038679e+01, 	 8.131252e-04, 	 2.832321e+01, 	 1.275280e-03, 	 7.5182, 	 0.62232, 	 0.62232  
23-May-2016 17:39:03, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
23-May-2016 17:39:03, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.630894e+03, 	 2.591922e-04, 	 1.003024e+09, 	 2.591922e-04, 	 3618.6476, 	 1.5202, 	 0.7725  
23-May-2016 17:39:10, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.491096e+05, 	 4.433897e-01, 	 2.893568e+15, 	 4.609942e-01, 	 1, 	 1, 	 1  
23-May-2016 17:39:11, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.775543e+06, 	 4.433897e-01, 	 1.734914e+12, 	 4.433897e-01, 	 4.2153e-05, 	 1.5191, 	 0.7725  
23-May-2016 17:39:17, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
23-May-2016 17:39:17, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.715586e+00, 	 5.831108e-02, 	 3.281962e+00, 	 5.831108e-02, 	 1.8581, 	 0.76992, 	 1  
23-May-2016 17:39:18, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.342745e+01, 	 3.728779e-01, 	 5.837370e+00, 	 3.644275e-02, 	 1, 	 1, 	 1  
23-May-2016 17:39:18, 	 2, 	 6, 	 0, 	 6, 	 0, 	 6.227868e+00, 	 2.151253e-01, 	 1.237158e+01, 	 2.151253e-01, 	 5.9031, 	 0.77407, 	 1  
23-May-2016 17:39:19, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
23-May-2016 17:39:19, 	 3, 	 7, 	 6, 	 8, 	 5, 	 5.862015e+00, 	 4.040894e-03, 	 5.862015e+00, 	 4.040894e-03, 	 1.4921, 	 0.79272, 	 0.90647  
23-May-2016 17:39:21, 	 3, 	 7, 	 6, 	 8, 	 5, 	 5.249888e+02, 	 1.626250e-01, 	 3.821537e+01, 	 1.105416e-02, 	 1, 	 1, 	 1  
23-May-2016 17:39:21, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.746491e+02, 	 1.203918e-01, 	 1.746491e+02, 	 1.203918e-01, 	 13.7389, 	 0.79272, 	 0.90647  
23-May-2016 17:39:23, 	 4, 	 9, 	 8, 	 10, 	 7, 	 5.120653e+01, 	 4.217680e-05, 	 3.400110e+01, 	 3.166825e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:23, 	 4, 	 9, 	 8, 	 10, 	 7, 	 1.217664e+00, 	 4.217680e-05, 	 1.217664e+00, 	 4.342379e-05, 	 1.3712, 	 0.59374, 	 0.66132  
23-May-2016 17:39:26, 	 4, 	 9, 	 8, 	 10, 	 7, 	 1.408231e+03, 	 1.159904e-03, 	 9.399500e+01, 	 8.754592e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:26, 	 4, 	 9, 	 8, 	 10, 	 7, 	 3.331740e+01, 	 1.159904e-03, 	 3.331740e+01, 	 1.182134e-03, 	 13.503, 	 0.59589, 	 0.65702  
23-May-2016 17:39:29, 	 5, 	 9, 	 8, 	 10, 	 7, 	 4.893870e+01, 	 4.993678e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:29, 	 5, 	 9, 	 8, 	 10, 	 7, 	 1.385741e+00, 	 4.993678e-05, 	 1.229645e+00, 	 5.040936e-05, 	 1.1756, 	 0.63212, 	 0.63212  
23-May-2016 17:39:31, 	 5, 	 9, 	 8, 	 10, 	 7, 	 1.593747e+03, 	 1.626250e-03, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:39:31, 	 5, 	 9, 	 8, 	 10, 	 7, 	 4.512831e+01, 	 1.626250e-03, 	 4.007074e+01, 	 1.642702e-03, 	 9.6842, 	 0.63212, 	 0.63212  
23-May-2016 17:39:33, 	 6, 	 9, 	 8, 	 9, 	 8, 	 4.893870e+01, 	 4.993678e-05, 	 2.817384e+01, 	 8.632822e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:33, 	 6, 	 9, 	 8, 	 9, 	 8, 	 1.385741e+00, 	 4.993678e-05, 	 9.340221e-01, 	 6.757197e-05, 	 0.78273, 	 0.63212, 	 0.63212  
23-May-2016 17:39:35, 	 6, 	 9, 	 8, 	 9, 	 8, 	 1.593747e+03, 	 1.626250e-03, 	 2.498281e+02, 	 7.655051e-04, 	 1, 	 1, 	 1  
23-May-2016 17:39:35, 	 6, 	 9, 	 8, 	 9, 	 8, 	 4.512831e+01, 	 1.626250e-03, 	 3.150034e+01, 	 2.278897e-03, 	 2.977, 	 0.63212, 	 0.63212  
23-May-2016 17:39:38, 	 7, 	 9, 	 8, 	 10, 	 10, 	 4.893870e+01, 	 4.993678e-05, 	 5.067700e+01, 	 2.842663e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:38, 	 7, 	 9, 	 8, 	 10, 	 10, 	 1.910275e+00, 	 4.993678e-05, 	 3.136057e+00, 	 4.979400e-05, 	 1.7517, 	 0.6267, 	 0.71163  
23-May-2016 17:39:40, 	 7, 	 9, 	 8, 	 10, 	 10, 	 1.593747e+03, 	 1.626250e-03, 	 2.163839e+03, 	 1.213778e-03, 	 1, 	 1, 	 1  
23-May-2016 17:39:40, 	 7, 	 9, 	 8, 	 10, 	 10, 	 6.221037e+01, 	 1.626250e-03, 	 1.021305e+02, 	 1.621618e-03, 	 1.336, 	 0.6267, 	 0.71163  
23-May-2016 17:39:43, 	 8, 	 9, 	 8, 	 10, 	 7, 	 5.258957e+01, 	 3.785610e-05, 	 3.400110e+01, 	 3.166825e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:43, 	 8, 	 9, 	 8, 	 10, 	 7, 	 9.932435e-01, 	 3.785610e-05, 	 9.932435e-01, 	 3.867179e-05, 	 1.2212, 	 0.60105, 	 0.61385  
23-May-2016 17:39:45, 	 8, 	 9, 	 8, 	 10, 	 7, 	 1.239488e+03, 	 8.922340e-04, 	 9.399500e+01, 	 8.754592e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:45, 	 8, 	 9, 	 8, 	 10, 	 7, 	 2.345673e+01, 	 8.922340e-04, 	 2.345673e+01, 	 9.151134e-04, 	 10.453, 	 0.60019, 	 0.61543  
23-May-2016 17:39:47, 	 9, 	 9, 	 8, 	 10, 	 7, 	 4.893870e+01, 	 4.993678e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:47, 	 9, 	 9, 	 8, 	 10, 	 7, 	 1.385741e+00, 	 4.993678e-05, 	 1.229645e+00, 	 5.040936e-05, 	 1.1756, 	 0.63212, 	 0.63212  
23-May-2016 17:39:49, 	 9, 	 9, 	 8, 	 10, 	 7, 	 1.593747e+03, 	 1.626250e-03, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:39:49, 	 9, 	 9, 	 8, 	 10, 	 7, 	 4.512831e+01, 	 1.626250e-03, 	 4.007074e+01, 	 1.642702e-03, 	 9.6842, 	 0.63212, 	 0.63212  
23-May-2016 17:39:51, 	 10, 	 10, 	 9, 	 10, 	 7, 	 7.554406e+01, 	 2.654478e-05, 	 3.137010e+01, 	 4.288023e-05, 	 1, 	 1, 	 1  
23-May-2016 17:39:51, 	 10, 	 10, 	 9, 	 10, 	 7, 	 9.919882e-01, 	 2.654478e-05, 	 5.950577e-01, 	 2.679305e-05, 	 0.62483, 	 0.62232, 	 0.62232  
23-May-2016 17:39:53, 	 10, 	 10, 	 9, 	 10, 	 7, 	 2.314081e+03, 	 8.131252e-04, 	 1.240946e+02, 	 1.696267e-04, 	 1, 	 1, 	 1  
23-May-2016 17:39:53, 	 10, 	 10, 	 9, 	 10, 	 7, 	 3.038679e+01, 	 8.131252e-04, 	 2.832321e+01, 	 1.275280e-03, 	 7.5182, 	 0.62232, 	 0.62232  
23-May-2016 17:45:44, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
23-May-2016 17:45:44, 	 3, 	 7, 	 6, 	 8, 	 5, 	 5.862010e+00, 	 4.040890e-03, 	 5.862010e+00, 	 4.040890e-03, 	 1.4921, 	 0.79272, 	 0.90647  
23-May-2016 17:45:49, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
23-May-2016 17:45:49, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.630893e+03, 	 2.591922e-04, 	 1.003026e+09, 	 2.591922e-04, 	 3618.6586, 	 1.5202, 	 0.7725  
23-May-2016 17:49:24, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
23-May-2016 17:49:25, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
07-Jun-2016 14:01:22, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
07-Jun-2016 14:01:22, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
07-Jun-2016 14:08:26, 	 1, 	 3, 	 2, 	 3, 	 2, 	 , 	 , 	 1.681793e+00, 	 8.408964e-01, 	 1, 	 1, 	 1  
07-Jun-2016 14:08:26, 	 1, 	 3, 	 2, 	 3, 	 2, 	 1.233290e+00, 	 1.000000e+00, 	 1.521010e+00, 	 7.605052e-01, 	 0.9044, 	 1, 	 1.1105  
07-Jun-2016 14:08:48, 	 1, 	 3, 	 2, 	 3, 	 2, 	 , 	 , 	 1.681793e+00, 	 8.408964e-01, 	 1, 	 1, 	 1  
07-Jun-2016 14:08:48, 	 1, 	 3, 	 2, 	 3, 	 2, 	 1.233290e+00, 	 1.000000e+00, 	 1.521010e+00, 	 7.605052e-01, 	 0.9044, 	 1, 	 1.1105  
07-Jun-2016 14:15:49, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 , 	 , 	 1.681793e+00, 	 8.408964e-01, 	 1, 	 1, 	 1  
07-Jun-2016 14:15:49, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 1.233290e+00, 	 1.000000e+00, 	 1.521010e+00, 	 7.605052e-01, 	 0.9044, 	 1, 	 1.1105  
07-Jun-2016 14:16:27, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 , 	 , 	 1.681793e+00, 	 8.408964e-01, 	 1, 	 1, 	 1  
07-Jun-2016 14:16:27, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 1.233290e+00, 	 1.000000e+00, 	 1.521010e+00, 	 7.605052e-01, 	 0.9044, 	 1, 	 1.1105  
07-Jun-2016 14:17:09, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 , 	 , 	 1.681793e+00, 	 8.408964e-01, 	 1, 	 1, 	 1  
07-Jun-2016 14:17:09, 	 Intersection, 	 3, 	 2, 	 3, 	 2, 	 1.233290e+00, 	 1.000000e+00, 	 1.521010e+00, 	 7.605052e-01, 	 0.9044, 	 1, 	 1.1105  
20-Jun-2016 17:07:38, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.342745e+01, 	 3.728779e-01, 	 5.837370e+00, 	 3.644275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:07:38, 	 2, 	 6, 	 0, 	 6, 	 0, 	 4.432978e+00, 	 1.089943e-01, 	 4.432978e+00, 	 1.089943e-01, 	 2.9908, 	 0.69114, 	 1  
20-Jun-2016 17:08:13, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.491096e+05, 	 4.433897e-01, 	 2.893568e+15, 	 4.609942e-01, 	 1, 	 1, 	 1  
20-Jun-2016 17:08:13, 	 1, 	 13, 	 3, 	 24, 	 3, 	 3.456300e+08, 	 4.433897e-01, 	 3.456300e+08, 	 4.433897e-01, 	 2.0983e-11, 	 2.7811, 	 0.7725  
20-Jun-2016 17:08:41, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
20-Jun-2016 17:08:41, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
20-Jun-2016 17:09:09, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
20-Jun-2016 17:09:09, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
20-Jun-2016 17:38:23, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
20-Jun-2016 17:38:23, 	 3, 	 7, 	 6, 	 8, 	 5, 	 7.585458e+00, 	 5.458436e-03, 	 7.585458e+00, 	 5.458436e-03, 	 2.1496, 	 0.74325, 	 1.0535  
20-Jun-2016 17:39:23, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
20-Jun-2016 17:39:23, 	 3, 	 7, 	 6, 	 8, 	 5, 	 7.585458e+00, 	 5.458436e-03, 	 7.585458e+00, 	 5.458436e-03, 	 2.1496, 	 0.74325, 	 1.0535  
20-Jun-2016 17:40:18, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
20-Jun-2016 17:40:18, 	 3, 	 7, 	 6, 	 8, 	 5, 	 7.585458e+00, 	 5.458436e-03, 	 7.585458e+00, 	 5.458436e-03, 	 2.1496, 	 0.74325, 	 1.0535  
20-Jun-2016 17:41:11, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
20-Jun-2016 17:41:11, 	 3, 	 7, 	 6, 	 8, 	 5, 	 7.585458e+00, 	 5.458436e-03, 	 7.585458e+00, 	 5.458436e-03, 	 2.1496, 	 0.74325, 	 1.0535  
20-Jun-2016 17:41:38, 	 3, 	 7, 	 6, 	 8, 	 5, 	 1.762101e+01, 	 5.458436e-03, 	 1.181082e+01, 	 3.416392e-03, 	 1, 	 1, 	 1  
20-Jun-2016 17:41:38, 	 3, 	 7, 	 6, 	 8, 	 5, 	 7.585458e+00, 	 5.458436e-03, 	 7.585458e+00, 	 5.458436e-03, 	 2.1496, 	 0.74325, 	 1.0535  
20-Jun-2016 17:42:03, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
20-Jun-2016 17:42:03, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
20-Jun-2016 17:42:30, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:42:30, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.241030e+00, 	 3.051339e-02, 	 1.241030e+00, 	 3.051339e-02, 	 0.9723, 	 0.69114, 	 1  
20-Jun-2016 17:42:58, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:42:58, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.241030e+00, 	 3.051339e-02, 	 1.241030e+00, 	 3.051339e-02, 	 0.9723, 	 0.69114, 	 1  
20-Jun-2016 17:43:20, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:43:20, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.241030e+00, 	 3.051339e-02, 	 1.241030e+00, 	 3.051339e-02, 	 0.9723, 	 0.69114, 	 1  
20-Jun-2016 17:51:50, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:51:50, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.241030e+00, 	 3.051339e-02, 	 1.241030e+00, 	 3.051339e-02, 	 0.9723, 	 0.69114, 	 1  
20-Jun-2016 17:54:16, 	 2, 	 6, 	 0, 	 6, 	 0, 	 3.759068e+00, 	 1.043886e-01, 	 5.026863e+00, 	 3.138275e-02, 	 1, 	 1, 	 1  
20-Jun-2016 17:54:16, 	 2, 	 6, 	 0, 	 6, 	 0, 	 1.241030e+00, 	 3.051339e-02, 	 1.241030e+00, 	 3.051339e-02, 	 0.9723, 	 0.69114, 	 1  
20-Jun-2016 17:54:40, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
20-Jun-2016 17:54:40, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
28-Jun-2016 08:38:11, 	 1, 	 13, 	 3, 	 24, 	 3, 	 1.456220e+02, 	 2.591922e-04, 	 1.935818e+04, 	 3.084085e-12, 	 1, 	 1, 	 1  
28-Jun-2016 08:38:11, 	 1, 	 13, 	 3, 	 24, 	 3, 	 2.020449e+05, 	 2.591922e-04, 	 2.020449e+05, 	 2.591922e-04, 	 0.0018335, 	 2.7811, 	 0.7725  
28-Jun-2016 09:14:57, 	 1, 	 5, 	 6, 	 5, 	 5, 	 2.010734e+00, 	 2.513417e-01, 	 , 	 5.000000e-01, 	 1, 	 1, 	 1  
28-Jun-2016 09:14:57, 	 1, 	 5, 	 6, 	 5, 	 5, 	 3.920926e+00, 	 4.901158e-01, 	 3.431272e+00, 	 5.495903e-01, 	 0.9834, 	 1.1177, 	 1.1177  
28-Jun-2016 09:37:05, 	 3, 	 5, 	 6, 	 5, 	 5, 	 2.010734e+00, 	 2.513417e-01, 	 2.000000e+00, 	 5.000000e-01, 	 1, 	 1, 	 1  
28-Jun-2016 09:37:05, 	 3, 	 5, 	 6, 	 5, 	 5, 	 3.921032e+00, 	 4.901290e-01, 	 3.431401e+00, 	 5.496011e-01, 	 0.98341, 	 1.1177, 	 1.1177  
